Date,Day,Country,Type,Counts
4/21/2014,30,Nigeria,Cases,
4/20/2014,29,Nigeria,Cases,
4/17/2014,26,Nigeria,Cases,
4/16/2014,25,Nigeria,Cases,
4/15/2014,24,Nigeria,Cases,
4/14/2014,23,Nigeria,Cases,
4/11/2014,20,Nigeria,Cases,
4/9/2014,18,Nigeria,Cases,
4/7/2014,16,Nigeria,Cases,
4/4/2014,13,Nigeria,Cases,
4/1/2014,10,Nigeria,Cases,
3/31/2014,9,Nigeria,Cases,
3/29/2014,7,Nigeria,Cases,
3/28/2014,6,Nigeria,Cases,
3/27/2014,5,Nigeria,Cases,
3/26/2014,4,Nigeria,Cases,
3/25/2014,3,Nigeria,Cases,
3/24/2014,2,Nigeria,Cases,
3/22/2014,0,Nigeria,Cases,
1/5/2015,289,Senegal,Cases,
1/4/2015,288,Senegal,Cases,
1/3/2015,287,Senegal,Cases,
1/2/2015,286,Senegal,Cases,
12/31/2014,284,Senegal,Cases,
12/28/2014,281,Senegal,Cases,
12/27/2014,280,Senegal,Cases,
12/24/2014,277,Senegal,Cases,
12/21/2014,273,Senegal,Cases,
12/20/2014,272,Senegal,Cases,
12/18/2014,271,Senegal,Cases,
12/14/2014,267,Senegal,Cases,
12/9/2014,262,Senegal,Cases,
12/7/2014,260,Senegal,Cases,1.0
12/3/2014,256,Senegal,Cases,
11/30/2014,253,Senegal,Cases,1.0
11/28/2014,251,Senegal,Cases,
11/23/2014,246,Senegal,Cases,1.0
11/22/2014,245,Senegal,Cases,
11/18/2014,241,Senegal,Cases,1.0
11/16/2014,239,Senegal,Cases,1.0
11/15/2014,238,Senegal,Cases,
11/11/2014,234,Senegal,Cases,1.0
11/10/2014,233,Senegal,Cases,
11/9/2014,232,Senegal,Cases,1.0
11/8/2014,231,Senegal,Cases,
11/4/2014,227,Senegal,Cases,1.0
11/3/2014,226,Senegal,Cases,
11/2/2014,225,Senegal,Cases,1.0
10/31/2014,222,Senegal,Cases,
10/29/2014,220,Senegal,Cases,1.0
10/27/2014,218,Senegal,Cases,1.0
10/25/2014,216,Senegal,Cases,
10/22/2014,214,Senegal,Cases,
10/21/2014,213,Senegal,Cases,
10/19/2014,211,Senegal,Cases,1.0
